"label","@id","map","@type","skos:sameas","skos:sameas","skos:closematch"
"justinian i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1164","#N/A","#N/A","#N/A",,
"heraclius","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1165","#N/A","#N/A","#N/A",,
"leo i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1166","#N/A","#N/A","#N/A",,
"licinius","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1167","#N/A","#N/A","#N/A",,
"michael ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1168","#N/A","#N/A","#N/A",,
"nicephorus ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1169","#N/A","#N/A","#N/A",,
"pot","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/117",,"findtype",,,
"panticapaeum","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1170","#N/A","#N/A","#N/A",,
"theodosius ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1172","#N/A","#N/A","#N/A",,
"pulcheria","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1173","#N/A","#N/A","#N/A",,
"romanus iv","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1175","#N/A","#N/A","#N/A",,
"justin ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1176","#N/A","#N/A","#N/A",,
"theodosius i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1177","#N/A","#N/A","#N/A",,
"zeno","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1179","#N/A","#N/A","#N/A",,
"none","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/118",,"findtype",,,
"leo v","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1181","#N/A","#N/A","#N/A",,
"anas clypeata","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1183","eol","bird","https://eol.org/pages/45510567",,
"anas platyrhynchos","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1184","eol","bird","https://eol.org/pages/45510559",,
"anas sp.","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1185","eol","bird","https://eol.org/pages/45510553",,
"anas strepera","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1186","eol","bird","https://eol.org/pages/52231958",,
"aquila chrysaetos","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1187","eol","bird","https://eol.org/pages/45511389",,
"aythya ferina","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1188","eol","bird","https://eol.org/pages/45510577",,
"bucephala clangula","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1189","eol","bird","https://eol.org/pages/45510601",,
"metal","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/119",,"findtype",,,
"calidris sp.","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1190","eol","bird","https://eol.org/pages/45509221",,
"clangula hyemalis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1191","eol","bird","https://eol.org/pages/45510598",,
"columba livia","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1192","eol","bird","https://eol.org/pages/45509376",,
"columba palumbus","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1193","eol","bird","https://eol.org/pages/45513599",,
"corvus corax","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1194","eol","bird","https://eol.org/pages/45510016",,
"corvus cornix","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1195","eol","bird","https://eol.org/pages/45510015",,
"corvus monedula","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1196","eol","bird","https://eol.org/pages/45510000",,
"coturnix coturnix","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1197","eol","bird","https://eol.org/pages/45513806",,
"gallus gallus f. domestica","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1198","eol","bird","https://eol.org/pages/45513816",,
"garrulus glandarius","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1199","eol","bird","https://eol.org/pages/45515235",,
"medium","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/12",,"preservation",,,
"bone","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/120","getty","findtype","http://vocab.getty.edu/aat/300011798",,
"gavia arctica","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1200","eol","bird","https://eol.org/pages/45508996",,
"melanitta nigra","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1201","eol","bird","https://eol.org/pages/45510595",,
"netta rufina","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1202","eol","bird","https://eol.org/pages/45513548",,
"otis tarda","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1203","eol","bird","https://eol.org/pages/45513576",,
"phalacrocorax aristotelis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1204","eol","bird","https://eol.org/pages/45513571",,
"phalacrocorax carbo","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1205","eol","bird","https://eol.org/pages/45511373",,
"podiceps cristatus","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1206","eol","bird","https://eol.org/pages/45513833",,
"podiceps nigricollis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1207","eol","bird","https://eol.org/pages/45509033",,
"puffinus puffinus","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1208","eol","bird","https://eol.org/pages/45511311",,
